,F1,F2,F3,F4,F5,F6,F7,F,F9,F10
At,0.737056,0.751269,0.746193,0.745178,0.754315,0.73401,0.745178,0.738071,0.747208,0.740102
Br,0.71822,0.725636,0.713983,0.709746,0.71928,0.739407,0.73411,0.739407,0.724576,0.726695
Cr,0.773279,0.791498,0.785425,0.785425,0.791498,0.783401,0.779352,0.771255,0.779352,0.771255
Os,0.686131,0.695864,0.690998,0.692214,0.69708,0.686131,0.703163,0.694647,0.683698,0.70073
Pp,0.672945,0.677226,0.684075,0.672089,0.693493,0.683219,0.684932,0.696918,0.678938,0.679795
Sl,0.742248,0.74031,0.75,0.732558,0.753876,0.744186,0.74031,0.746124,0.738372,0.74031
Ta,0.720968,0.716129,0.722581,0.708065,0.719355,0.720968,0.719355,0.720968,0.725806,0.709677
Zm,0.7,0.720792,0.692079,0.70198,0.712871,0.705941,0.713861,0.717822,0.70099,0.710891
