,TPR,F1score
F1_lgb,0.5818,0.6378274633334179
F7_lgb,0.7352000000000001,0.7548250089227576
F8_lgb,0.7830000000000001,0.798342165620656
F8_pu,0.8023999999999998,0.8018505649099487
